"","errors","mistakes","class"
"1",0.04,16,"pro/bb"
"2",0.02,13,"pro/bb"
"3",0.38,10,"pro/bb"
"4",0,12,"bb/kb"
"5",0.02,9,"bb/kb"
"6",0.04,6,"bb/kb"
"7",0.04,3,"bb/kb"
"8",0.22,9,"kb/gt"
"9",0.04,6,"kb/gt"
"10",0.18,3,"kb/gt"
"11",0.2,1,"kb/gt"
"12",0.32,6,"gt/havo"
"13",0.34,3,"gt/havo"
"14",0.38,1,"gt/havo"
"15",0.26,5,"havo/vwo"
"16",0.02,2,"havo/vwo"
"17",0.16,0,"havo/vwo"
"18",0.02,2,"vwo"
"19",0,1,"vwo"
"20",0,0,"vwo"
